ref_consultation,org_acronyme,reference,type_procedure,type_procedure_abbrev,categorie,objet,acheteur,lieu_execution,date_publication,date_limite,statut,url
865321,g3h,01/SDAD/2025,Appel d'offres ouvert,AOO,Travaux,"Travaux de mise a niveau et élargissement du boulevard AL OUALAE et de ses abords de la ville de Dakhla, lot : Plantation - Espaces verts - Arrosage",SDL - SOCIETE DAKHLA AMENAGEMENT ET DEVELOPPEMENT SA,MAROC,12/01/2025,24/02/2025 11:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865321&orgAcronyme=g3h
865322,j0w,04/2025,Appel d'offres ouvert,AOO,Services,exploitation abattoir du souk nzalet laadem,Commune NZALAT LAADAM,REHAMNA,12/01/2025,27/01/2025 12:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865322&orgAcronyme=j0w
865324,z7x,01/ENCG/2025,Appel d'offres ouvert simplifié,AOS,Services,La location gérance de la buvette relevant de l’Ecole Nationale de Commerce et de Gestion de Settat,ECOLE NATIONALE DE COMMERCE ET DE GESTION DE SETTAT,SETTAT,12/01/2025,22/01/2025 11:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865324&orgAcronyme=z7x
865325,q0x,01/CI/2025,Appel d'offres ouvert simplifié,AOS,Travaux,Mise à Niveau de la Rentrée de la Ville d’el Hajeb au niveau du territoire de la Commune d'IQADDAR PROVINCE EL HAJEB,Commune rurale de IQADDAR,EL-HAJEB,12/01/2025,23/01/2025 11:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865325&orgAcronyme=q0x
865335,q1s,07/2025/ORTAF,Appel d'offres ouvert,AOO,Travaux,"Travaux d’aménagement hydro agricoles dans le cadre du PADIDZAR dans la zone d’Erfoud: Aménagement du canal d'irrigation Maktaa Sfa, CT Taous",OFFICE REGIONAL DE MISE EN VALEUR AGRICOLE DE TAFILALET,ERRACHIDIA,13/01/2025,04/02/2025 10:30,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865335&orgAcronyme=q1s
865336,q1s,08/2025/ORTAF,Appel d'offres ouvert,AOO,Travaux,Aménagement d'une digue et de trois bassins au niveau du périmètre Tazmamart CT Guers Tiaallaline.,OFFICE REGIONAL DE MISE EN VALEUR AGRICOLE DE TAFILALET,ERRACHIDIA,13/01/2025,04/02/2025 11:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865336&orgAcronyme=q1s
865337,h5r,14/2024/COZ,Appel d'offres ouvert,AOO,Services,"Gestion Déléguée D’Abattoir, Du Transport De Viande Et De L’abattage Dans La Commune D’Oued-Zem durant 2 années.",Commune urbaine de OUED-ZEM,KHOURIBGA,13/01/2025,04/02/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865337&orgAcronyme=h5r
865338,g3h,520/2025/CA/NETT,Appel d'offres ouvert,AOO,Services,Réalisation des prestations de nettoyage du siège social de la société Casablanca Aménagement S.A.,CASABLANCA AMENAGEMENT SA,CASABLANCA,13/01/2025,05/02/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865338&orgAcronyme=g3h
865339,p1v,01/2025/CT,Appel d'offres ouvert,AOO,Services,"Service de collecte et l'évacuation des déchets ménagers,elimination des points noires et de nettoiment des voies ,des quartiers et des espaces publiques de la commune d'ouled amrane province sidi bennour",Commune rurale de OULAD AMRANE,SIDI BENNOUR,13/01/2025,20/02/2025 11:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865339&orgAcronyme=p1v
865343,q0x,01/2025/CM,Appel d'offres ouvert,AOO,Travaux,Travaux de rénovation d’éclairage public des avenues de la ville de Midelt,Commune urbaine de MIDELT,MIDELT,13/01/2025,20/02/2025 10:30,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865343&orgAcronyme=q0x
