ref_consultation,org_acronyme,lot_numero,lot_intitule,categorie,description,estimation_ttc,caution_provisoire,qualifications,agrements,variante,reserve_pme
762014,g3h,1,,Travaux,,731676.0,14000.0,,,False,True
769978,o8p,1,,Services,,151152.0,3000.0,,,False,False
808726,o8p,1,,Services,,27230000.0,0.0,,,False,False
815488,d4q,1,,Travaux,,26442000.0,500000.0,,,False,False
818670,w9x,1,,Fournitures,,1790400.0,35000.0,,,False,False
825380,o8p,1,,Services,,500000.0,9000.0,,"D14- Calcul de structures pour bâtiments à tous usages D15- Courant fort et courant faible pour bâtiments à tous usages D16- Réseaux des fluides pour bâtiments à tous usages D17- Voirie, réseaux d'assainissement et eau potable",False,False
828088,s3z,1,,Travaux,,1378800.0,27000.0,Equipement / X- Signalisation et equipements de securite / X.2- Travaux de signalisation verticale et équipements de sécurité / Classe 2,,False,False
831314,g8e,1,,Travaux,,540960.0,5000.0,,,False,True
832755,g8e,1,,Services,,492000.0,8000.0,,,False,False
833105,m8x,1,,Services,,25627.68,500.0,,,False,True
833599,m8x,1,,Services,,60952.38,1200.0,,,False,True
833785,x6c,1,,Services,,0.0,0.0,,,False,False
836404,p8x,1,Produits chimiques pour automate de biochimie COBAS C311,Fournitures,,1471489.42,0.0,,,False,False
836404,p8x,2,Produits chimiques pour automate de biochimie BIOSYSTEM BA400,Fournitures,,707388.0,14000.0,,,False,False
836404,p8x,3,Produits chimiques pour automate d’HEMATOLOGIE SYSMEX XN 1000 ; SYSMEX CS1600 ; HEMOSTASE TCOAG,Fournitures,,1757830.8,30000.0,,,False,False
836404,p8x,4,Produits chimiques pour automate d’IMMUNOLOGIE ARCHITECT PLUS i1000SR ET DE GROUPAGE,Fournitures,,883347.36,15000.0,,,False,False
836404,p8x,5,Produits chimiques de MICROBIOLOGIE,Fournitures,,1519250.98,30000.0,,,False,False
836451,y5l,1,,Fournitures,,5040000.0,50000.0,,,False,False
837794,q9t,1,,Services,,3751000.0,70000.0,,,False,False
838165,g8e,1,,Travaux,,7992424.08,114000.0,Equipement / A- Construction / A.5- Travaux d’aménagement et de réhabilitation de bâtiments / Classe 3,,False,False
839295,g8e,1,,Services,,8448000.0,100000.0,,,False,False
839847,g3h,1,,Travaux,,1790722.0,35000.0,Equipement / A- Construction / A.2- Travaux courants en béton armé-maçonnerie pour bâtiment / Classe 4,,False,False
839980,j0w,1,,Travaux,,253704.0,5000.0,,,False,True
840682,m8x,1,,Services,,5773650.79,0.0,,,False,True
840735,m8x,1,,Services,,2539682.54,0.0,,,False,True
840801,m8x,1,,Services,,1067820.63,0.0,,,False,True
842181,q9t,1,,Fournitures,,486240.0,9000.0,,,False,False
