ref_consultation,org_acronyme,lot_numero,lot_intitule,categorie,description,estimation_ttc,caution_provisoire,qualifications,agrements,variante,reserve_pme
887183,g3h,1,,Fournitures,,1107960.0,20000.0,,,False,False
891872,g3h,1,,Fournitures,,355896.0,7000.0,,,False,False
893314,o8p,1,,Fournitures,,4819044.0,95000.0,,,False,False
899290,d4q,1,,Services,,1195200.0,20000.0,,,False,True
900870,o8p,1,,Fournitures,,3616080.0,65000.0,,,False,False
905109,o8p,1,,Fournitures,,5449368.0,100000.0,,,False,False
917442,g8e,1,,Fournitures,,1153680.0,18000.0,,,False,False
917962,g7n,1,,Fournitures,,5061456.0,80000.0,,,False,False
918488,g8e,1,,Services,,297600.0,5000.0,,,False,False
919545,d4q,1,,Fournitures,,11944000.0,200000.0,,,False,False
922267,g8e,1,,Travaux,,3382215.6,60000.0,Equipement / A- Construction / A.2- Travaux courants en béton armé-maçonnerie pour bâtiment / Classe 5,,False,False
923858,d4q,1,Fourniture des Disjoncteurs 420 kV,Fournitures,,8640000.0,100000.0,,,False,False
923858,d4q,2,Fourniture des Disjoncteurs 245 kV,Fournitures,,5058000.0,100000.0,,,False,False
923858,d4q,3,"Fourniture des Disjoncteurs 72,5 Kv et 24 kV",Fournitures,,9199000.0,100000.0,,,False,False
923858,d4q,4,Fourniture des sectionneurs 420 kV,Fournitures,,768000.0,0.0,,,False,False
923858,d4q,5,Fourniture des sectionneurs 245 KV,Fournitures,,2218000.0,50000.0,,,False,False
923858,d4q,6,"Fourniture des sectionneurs 72,5 et 36 kV",Fournitures,,2839000.0,50000.0,,,False,False
926321,o8p,1,,Fournitures,,43076400.0,646200.0,,,True,False
927817,q9t,1,,Services,,10714680.0,200000.0,,,False,False
930977,d4q,1,,Fournitures,,1227400.0,20000.0,,,False,False
932588,o8p,1,,Services,,396000.0,7000.0,,,False,False
932655,q3m,1,,Services,,537600.0,10000.0,,,False,False
934917,q3m,1,,Services,,201600.0,4000.0,,,False,False
937227,j0w,1,,Services,,18000000.0,0.0,,,False,False
939952,g8e,1,,Services,,7198800.0,120000.0,,,False,False
941231,g8e,1,,Services,,638400.0,10000.0,,,False,False
943305,o8p,1,,Travaux,,17095291.0,300000.0,,,False,False
943385,o8p,1,,Fournitures,,1141080.0,20000.0,,,False,False
943391,o8p,1,,Fournitures,,2312520.0,45000.0,,,False,False
943573,q0x,1,,Services,,60000.0,1000.0,,,False,False
944207,g8e,1,"LOT1 : L’acquisition, l’installation, la mise en œuvre de matériels informatiques (serveurs et switchs) et logiciels pour refonte de la plate-forme du site de production du système BADR et la migration de l’environnement du site de backup pour le compte de l’Administration des Douanes et Impôts Indirects.",Fournitures,,8335200.0,150000.0,,,False,False
944207,g8e,2,la maintenance (pièces et main d’œuvre) de matériels informatiques (serveurs et switchs) et logiciels pour refonte de la plate-forme du site de production du système BADR au profit de l’Administration des Douanes et Impôts Indirects.,Services,,1158000.0,0.0,,,False,False
945462,w9x,1,,Fournitures,,15000000.0,300000.0,,,False,False
945825,g8e,1,,Fournitures,,900000.0,9000.0,,,False,True
945889,u9g,1,,Services,,160000000.0,0.0,,,False,False
946426,q9t,1,,Services,,168000.0,3300.0,,,False,False
947329,m1w,1,Couches pour bébé,Services,,359100.0,0.0,,,False,False
947329,m1w,2,"Articles culinaires, en contact alimentaire et à gaz",Services,,3619368.0,0.0,,,False,False
947329,m1w,3,Articles scolaires,Services,,600000.0,0.0,,,False,False
948075,o8p,1,,Travaux,,3927862.43,40000.0,Equipement / J- Electricite / J.5- Réalisation de réseaux de branchement électrique basse tension / Classe 3 Equipement / J- Electricite / J.6- Réalisation de réseau électrique MT et transformation MT-BT et réseaux basse tension / Classe 3,,False,False
948779,w9x,1,Unités de potabilisation de 3600 L/H,Fournitures,,11520000.0,200000.0,,,False,False
948779,w9x,2,Unités de potabilisation de 3600 L/H,Fournitures,,11520000.0,200000.0,,,False,False
949084,g7n,1,Acquisition et installation de matériel informatique.,Fournitures,,3159480.0,60000.0,,,False,False
949084,g7n,2,Acquisition et installation de serveurs et postes téléphoniques au niveau des locaux abritant la direction de la statistique.,Fournitures,,1644013.94,30000.0,,,False,False
949147,d4q,1,,Travaux,,4999200.0,50000.0,,,False,False
949561,j0w,1,,Travaux,,649995.6,12000.0,,,False,False
950198,o8p,1,,Fournitures,,11617440.0,174300.0,,,True,False
950210,o8p,1,,Fournitures,,21852345.6,327800.0,,,True,False
950382,a1z,1,,Services,,1361128.8,24000.0,,,False,False
950503,g8e,1,Lot n°1 : l’assistance technique concernant les services métier du domaine fonctionnel « Gestion des crédits » du système de gestion intégrée de la dépense (GID).,Services,,1356600.0,25000.0,,,False,False
950503,g8e,2,Lot n°2 : l’assistance technique concernant les services métier du domaine fonctionnel « Gestion des recettes » du système de gestion intégrée de la dépense (GID).,Services,,1356600.0,24000.0,,,False,False
950503,g8e,3,Lot n°3 : l’assistance technique concernant les services métier du domaine fonctionnel « Gestion de la dépense » du système de gestion intégrée de la dépense (GID).,Services,,1356600.0,23000.0,,,False,False
950503,g8e,4,Lot n°4 : l’assistance technique concernant les services d’interfaçage du système de gestion intégrée de la dépense (GID).,Services,,422400.0,8000.0,,,False,False
950898,o4d,1,,Services,,797880.0,6000.0,,,False,False
951875,d4q,1,,Services,,2943439.29,50000.0,,,False,False
952052,a2a,1,,Services,,3000000.0,0.0,,,False,False
952250,d4q,1,,Travaux,,129230640.0,1500000.0,,,False,False
952375,d4q,1,,Travaux,,17500000.0,175000.0,,,False,False
