ref_consultation,org_acronyme,reference,type_procedure,type_procedure_abbrev,categorie,objet,acheteur,lieu_execution,date_publication,date_limite,statut,url,est_annule,resultat_definitif,nombre_lots,estimation_totale_ttc
967844,d4q,49/DAM/EE/2025,Appel d'offres ouvert,AOO,Services,Étude préalable du projet de mise en place d’une solution digitale pour la programmation et suivi des investissements des projets,OFFICE NATIONAL DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE EAU,TANGER-ASSILAH,2025-12-31,2026-02-11 09:30:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967844&orgAcronyme=d4q,False,False,1,1500000.0
967851,d4q,123DR1/CI/2025,Appel d'offres ouvert,AOO,Travaux,Acquisition et renouvellement des groupes de pompage au niveau des centres Tiznit et Aït Baha,OFFICE NATIONAL DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE EAU,TIZNIT,2025-12-31,2026-02-09 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967851&orgAcronyme=d4q,False,False,1,1080000.0
967856,g3h,022/2025/AS,Appel d'offres ouvert,AOO,Travaux,Dessableur Avenue Rif à Tétouan,SOCIETE REGIONALE MULTISERVICES TANGER- TETOUAN-AL HOCEIMA SA,TETOUAN,2025-12-31,2026-01-28 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967856&orgAcronyme=g3h,False,False,1,770326.8
967863,d4q,116DR1/CD/2025,Appel d'offres ouvert,AOO,Services,Alimentation en eau potable de la région d'Aît Baha à partir de la Station de Dessalement Lot : Contrôle technique des ouvrages de génie civil,OFFICE NATIONAL DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE EAU,CHTOUKA-AIT BAHA,2025-12-31,2026-02-02 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967863&orgAcronyme=d4q,False,False,1,238000.0
967867,g3h,024/2025/AS,Appel d'offres ouvert,AOO,Travaux,Renouvellement de 06 groupes d’aération de la STEP Boukhalef à Tanger,SOCIETE REGIONALE MULTISERVICES TANGER- TETOUAN-AL HOCEIMA SA,TANGER-ASSILAH,2025-12-31,2026-01-28 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967867&orgAcronyme=g3h,False,False,1,1909090.5
967872,x6c,99AOM/SNRT/2025,Appel d'offres ouvert,AOO,Fournitures,Fourniture d’un ensemble d’appareils de mesure et test pour les Réseaux de Faisceaux hertziens et les signaux Vidéo.,LA SOCIETE NATIONALE DE RADIODIFFUSION ET DE TELEVISION,RABAT,2025-12-31,2026-02-12 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967872&orgAcronyme=x6c,False,False,1,912000.0
967873,d4q,107DR1/CD/2025,Appel d'offres ouvert,AOO,Travaux,Alimentation en eau potable de la région d’Ait Baha à partir d’un nouveau forage. Lot : Conduite et Equipement 2.,OFFICE NATIONAL DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE EAU,CHTOUKA-AIT BAHA,2025-12-31,2026-01-26 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967873&orgAcronyme=d4q,False,False,1,2300000.0
967877,d4q,121DR1/CI/2025,Appel d'offres ouvert,AOO,Travaux,Renforcement de l’AEP du centre Ait Iazza à partir de l’adduction d’Aoulouz,OFFICE NATIONAL DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE EAU,AGADIR IDA OU TANANE,2025-12-31,2026-02-09 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967877&orgAcronyme=d4q,False,False,1,2500000.0
967882,j8k,AO/295/2025,Appel d'offres ouvert,AOO,Services,TRAVAUX TOPOGRAPHIQUES DES OPÉRATIONS DÉPENDANT DE L’AGENCE DE TAZA-TAOUNATE DE LA SOCIÉTÉ AL OMRANE FÈS- MEKNÈS,SOCIETE AL OMRANE FES MEKNES,TAOUNATE,2025-12-31,2026-01-26 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967882&orgAcronyme=j8k,False,False,1,214200.0
967896,d4q,119DR1/CI/2025,Appel d'offres ouvert,AOO,Fournitures,Acquisition des effets spéciaux de protection et de matériels de sécurité pour les centres relevant du Secteur de Production Agadir-Inezgane (SP1/1).,OFFICE NATIONAL DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE EAU,AGADIR IDA OU TANANE,2025-12-31,2026-02-09 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967896&orgAcronyme=d4q,False,False,1,480000.0
967908,j8k,AO/292/2025,Appel d'offres ouvert,AOO,Travaux,PROGRAMME DE MISE A NIVEAU URBAINE COMPLEMENTAIRE DE SIDI ALI BOUREKBA TRAVAUX DE VOIRIE ET DRAINAGE DES EAUX PLIVIALES A LA COMMUNE SIDI ALI BOUREKBA- PROVINCE DE TAZA,SOCIETE AL OMRANE FES MEKNES,TAZA,2025-12-31,2026-01-22 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967908&orgAcronyme=j8k,False,False,1,1819128.0
967910,d4q,111DR1/CI/2025,Appel d'offres ouvert,AOO,Travaux,Réalisation d’une conduite de liaison entre les forages Ait Abad (F.08/121 et F.02/120) et la conduite existante en AC DN 250 mm,OFFICE NATIONAL DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE EAU,AGADIR IDA OU TANANE,2025-12-31,2026-01-26 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967910&orgAcronyme=d4q,False,False,1,435600.0
967919,d4q,120DR1/CI/2025,Appel d'offres ouvert,AOO,Travaux,Entretien et réparation des conduites de diamètre supérieur ou égal à 500 mm pour l’adducteur d’Aoulouz.,OFFICE NATIONAL DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE EAU,AGADIR IDA OU TANANE,2025-12-31,2026-02-09 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967919&orgAcronyme=d4q,False,False,1,2000000.0
967921,g3h,023/2025/AS,Appel d'offres ouvert,AOO,Travaux,Reconstruction du Réseau Sanitaire à Gueznaia derrière la station Winxo à Tanger,SOCIETE REGIONALE MULTISERVICES TANGER- TETOUAN-AL HOCEIMA SA,TANGER-ASSILAH,2025-12-31,2026-01-28 10:30:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967921&orgAcronyme=g3h,False,False,1,2150389.2
967937,z9k,01/2026/CG,Appel d'offres ouvert,AOO,Travaux,Dallage des rues,Commune rurale de GUETTAYA,BENI MELLAL,2025-12-31,2026-01-27 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967937&orgAcronyme=z9k,False,False,1,843066.0
967949,i1t,1/2026,Appel d'offres ouvert,AOO,Services,Les objets de la présente vente aux enchères sont exposés au centre communal,Commune urbaine de KENITRA,Province de Kenitra,2025-12-31,2026-01-27 12:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967949&orgAcronyme=i1t,False,False,1,300000.0
967962,j8k,50/2025/HAO,Appel d'offres ouvert,AOO,Services,l’Assistance pour l’intégration de la démarche BIM.,HOLDING AL OMRANE,RABAT,2025-12-31,2026-02-10 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967962&orgAcronyme=j8k,False,False,1,1699200.0
967965,h5r,05/2025,Appel d'offres ouvert,AOO,Services,l'affermage des annexes du souk hebdomadaire Tnin Toualaâ à l’exception de l’abattoir.,Commune rurale de OULAD ALI TOUALAA,BENSLIMANE,2025-12-31,2026-01-27 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967965&orgAcronyme=h5r,False,False,1,283800.0
967972,q1s,01/2026/SGRID,Appel d'offres ouvert,AOO,Services,"PRESTATIONS DE DISTRIBUTION DE L’EAU D’IRRIGATION AUPRES DES USAGERS AGRICOLES DANS LE PERIMETRE DE LA MOULOUYA SIS DANS LES PROVINCES DE BERKANE, DE NADOR ET DE TAOURIRT.",OFFICE REGIONAL DE MISE EN VALEUR AGRICOLE DE MELOUIA,NADOR,2025-12-31,2026-02-11 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967972&orgAcronyme=q1s,False,False,1,10836384.0
967973,j8k,47/2025/HAO,Appel d'offres ouvert,AOO,Services,"la mission de suivi et contrôle technique des Travaux de protection par enrochements place Mohammed V, à Conakry-Guinée.",HOLDING AL OMRANE,GUINÉE,2025-12-31,2026-01-29 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967973&orgAcronyme=j8k,False,False,1,1440000.0
967978,o8p,239/25/AOO/ONDA,Appel d'offres ouvert,AOO,Services,Prestations de nettoyage et activités connexes de l’Aéroport de Rabat/Salé,OFFICE NATIONAL DES AEROPORTS,RABAT,2025-12-31,2026-02-12 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967978&orgAcronyme=o8p,False,False,1,11165609.38
