ref_consultation,org_acronyme,reference,type_procedure,type_procedure_abbrev,categorie,objet,acheteur,lieu_execution,date_publication,date_limite,statut,url,est_annule,resultat_definitif,nombre_lots,estimation_totale_ttc
1016048,o8p,SK27/2026,Appel d'offres ouvert,AOO,Services,Etude d’amélioration du niveau de service de la RP 4240 du PK 0+000 au PK 22+470 sur 22.47 Km - Lot unique - Province de Sidi Kacem -,LE DIRECTEUR PROVINCIAL DE L'EQUIPEMENT ET DU TRANSPORT ET DE LA LOGISTIQUE DE SIDI KACEM,SIDI KACEM,2026-07-07,2026-08-04 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016048&orgAcronyme=o8p,False,False,1,375226.8
1016072,g8e,64/2026,Appel d'offres ouvert,AOO,Fournitures,Appel d'offres ouvert international sur offres de prix n°64/2026 relatif à la fourniture des scellés câbles à fermeture par serrage progressif destinés aux différents services de l’Administration des Douanes et Impôts indirects (Lot unique).,DIRECTEUR DES DOUANES ET IMPOTS INDIRECTS RABAT,RABAT,2026-06-30,2026-08-11 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016072&orgAcronyme=g8e,False,False,1,2448000.0
1016098,g3h,08/2026/INDH,Appel d'offres ouvert,AOO,Fournitures,"Equipement de Dar Talib et Taliba à la Province d'El-Hajeb en matériels audiovisuels, informatiques, bureautiques et matériels de cuisine",GOUVERNEUR DE LA PROVINCE D'EL HAJEB,EL-HAJEB,2026-07-03,2026-08-04 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016098&orgAcronyme=g3h,False,False,1,521160.0
1016101,q0x,01/2026/C.G.E.O,Appel d'offres ouvert,AOO,Travaux,"TRAVAUX D’AMENAGEMENT D’UN TERRAIN DE PROXIMITE AU KSAR TIMHRACH DANS LE TERRITOIRE DE LA COMMUNE GHERIS EL OULOUI, PROVINCE ERRACHIDIA",Commune rurale de GHERIS EL OULOUI,ERRACHIDIA,2026-06-26,2026-08-05 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016101&orgAcronyme=q0x,False,False,1,999789.0
1016136,o8p,38/2026,Appel d'offres ouvert,AOO,Travaux,TRAVAUX POUR LA COLLECTE DES EAUX PLUVIALES POUR LES ECOLES RURALES DANS LES PROVINCES DE SAFI ET YOUSSOUFIA REGION MARRAKECH-SAFI,"DIRECTION PROVINCIALE DE L'EQUIPEMENT, DU TRANSPORT, DE LA LOGISTIQUE ET DE L'EAU DE SAFI",SAFI,2026-07-10,2026-08-18 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016136&orgAcronyme=o8p,False,False,1,2078820.0
1016161,g3h,21/2026,Appel d'offres ouvert,AOO,Fournitures,"Achat des matériaux de maçonnerie pour entretien et réparation des bâtiments administratifs du CFPFA Aoulouz, à la province de Taroudannt, en lot unique.",GOUVERNEUR DE LA PROVINCE DE TAROUDANNT,Province de Taroudant,2026-07-09,2026-08-12 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016161&orgAcronyme=g3h,False,False,1,1110900.0
1016166,o8p,17/2026,Appel d'offres ouvert,AOO,Fournitures,Plan de compagne 2026 : Fourniture de l’Enrobé à Froid 0 /10 et d’émulsion de bitume nécessaire pour l'entretien du réseau routier relevant du service de l’équipement du transport et de la logistique de Sidi Bennour - PROVINCE DE SIDI BENNOUR-,"CHEF DE SERVICE DE L'EQUIPEMENT, DU TRANSPORT ET DE LA LOGISTIQUE DE SIDI BENNOUR",MAROC,2026-07-07,2026-08-04 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016166&orgAcronyme=o8p,False,False,1,189240.0
1016167,g3h,30/2026,Appel d'offres ouvert,AOO,Fournitures,"Achat des matériaux de revêtement et peinture pour entretien et réparation des bâtiments administratifs du CFPFA Aoulouz, à la province de Taroudannt, en lot unique",GOUVERNEUR DE LA PROVINCE DE TAROUDANNT,Province de Taroudant,2026-07-09,2026-08-13 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016167&orgAcronyme=g3h,False,False,1,1539402.0
1016195,o8p,19/2026,Appel d'offres ouvert,AOO,Travaux,Achèvement des travaux d’élargissement et de renforcement de la RP 3434 du PK 10+300 au PK 21+029 relevant du SETL de Sidi Bennour.,"CHEF DE SERVICE DE L'EQUIPEMENT, DU TRANSPORT ET DE LA LOGISTIQUE DE SIDI BENNOUR",MAROC,2026-07-07,2026-08-04 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016195&orgAcronyme=o8p,False,False,1,12093736.8
1016238,o8p,13/2026/DRI,Appel d'offres ouvert,AOO,Travaux,Travaux de reconstruction des ouvrages hydrauliques au PK 54+700 et au PK 87+270 de la RR511 dans la Province de Driouch,SERVICE DE L'EQUIPEMENT DU TRANSPORT ET DE LA LOGISTIQUE D DRIOUCH,DRIOUCH,2026-07-08,2026-08-10 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016238&orgAcronyme=o8p,False,False,1,4998522.78
1016303,g3h,18/2026/PP.AGADIR,Appel d'offres ouvert,AOO,Fournitures,"L'ACHAT DE MOBILIER DE BUREAU DESTINES AUX DIFFERENTS SERVICES DEPENDANT DE LA PREFECTURE DE POLICE D'AGADIR, EN LOT UNIQUE",PREFET DE LA POLICE DE AGADIR,AGADIR IDA OU TANANE,2026-07-08,2026-08-04 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016303&orgAcronyme=g3h,False,False,1,172800.0
1016355,j0w,10/2026,Appel d'offres ouvert,AOO,Travaux,FOURNITURE ET INSTALLATION DES PANNEAUX SOLAIRE ET DES POMPES AUX DIVERS DOUARS DE LA COMMUNE AIT IMOUR.,Commune AIT IMOUR,MARRAKECH,2026-07-09,2026-08-04 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016355&orgAcronyme=j0w,False,False,1,221980.0
1016412,o8p,26/2026/KH,Appel d'offres ouvert,AOO,Services,Etude de mise à niveau de la RP4317 du PK 0+000 au PK 25+180 dans la Province de Khemisset,DIRECTEUR PROVINCIAL D'EQUIPEMENT KHEMISSET,Province de Khemissat,2026-07-10,2026-08-05 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016412&orgAcronyme=o8p,False,False,1,190360.8
1016555,k2q,41/2026/DAH,Appel d'offres ouvert,AOO,Services,Etude de conception du barrage Bousbaa dans les provinces d’Ouazzane et de Larache,DIRECTEUR DES AMENAGEMENTS HYDRAULIQUES,LARACHE,2026-07-10,2026-08-27 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016555&orgAcronyme=k2q,False,False,1,3960000.0
1016557,d4q,34/2026/DAM/CM,Appel d'offres ouvert,AOO,Services,Acquisition des Vêtements de travail pour le personnel des entités centrales de l’ONEE Branche Eau à Rabat,OFFICE NATIONAL DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE EAU,RABAT,2026-06-25,2026-09-03 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016557&orgAcronyme=d4q,False,False,1,281280.0
1016592,g3h,11/BG/2026,Appel d'offres ouvert,AOO,Travaux,TRAVAUX D’AMENAGEMENT DE DEUX LOGEMENTS DE FONCTION POUR CAID ANNEXE ADMINISTRATIF 1 ET CAID ANNEXE ADMINISTRATIF 2 A IMINTANOUT PROVINCE DE CHICHAOUA.,GOUVERNEUR DE LA PROVINCE DE CHICHAOUA,CHICHAOUA,2026-07-06,2026-08-04 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016592&orgAcronyme=g3h,False,False,1,303120.0
1016595,g3h,12/BG/2026,Appel d'offres ouvert,AOO,Travaux,TRAVAUX D’AMENAGEMENT DE L’ABRIS DE RELAIS DE TRANSMISSION A DOUAR ALLOUSS A LA COMMUNE D’IMINDOUNIT PROVINCE DE CHICHAOUA.,GOUVERNEUR DE LA PROVINCE DE CHICHAOUA,CHICHAOUA,2026-07-06,2026-08-04 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016595&orgAcronyme=g3h,False,False,1,144636.0
1016599,g3h,13/BG/2026,Appel d'offres ouvert,AOO,Travaux,TRAVAUX D’AMENAGEMENT DU SIEGE DE LA PROVINCE DE CHICHAOUA.,GOUVERNEUR DE LA PROVINCE DE CHICHAOUA,CHICHAOUA,2026-07-06,2026-08-06 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016599&orgAcronyme=g3h,False,False,1,504266.93
1016606,g3h,13/INDH/2026,Appel d'offres ouvert,AOO,Travaux,TRAVAUX D’AMENAGEMENT DES CENTRES D’EPANOUISSEMENT DOUIRANE ET NFIFA A LA PROVINCE DE CHICHAOUA DANS LE CADRE DE L’INDH.,GOUVERNEUR DE LA PROVINCE DE CHICHAOUA,CHICHAOUA,2026-07-06,2026-08-06 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016606&orgAcronyme=g3h,False,False,1,618936.0
1016666,s3d,03/2026,Appel d'offres ouvert,AOO,Fournitures,"L’ACHAT, INSTALLATION ET MISE EN MARCHE DU MATERIEL TECHNIQUE POUR L’EQUIPEMENT DE LA PISCINE 16 AOUT A OUJDA RELEVANT DU SEGMA « SERVICE DU CONTROLE DES ETABLISSEMENTS ET DES SALLES SPORTIVES ».",SERVICE DU CONTROLE DES ETABLISSEMENTS ET DES SALLES SPORTIVES,OUJDA-ANGAD,2026-06-30,2026-08-11 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016666&orgAcronyme=s3d,False,False,1,6474000.0
1016667,k2q,45/2026/DAH,Appel d'offres ouvert,AOO,Services,Etude et suivi des travaux de protection de la ville de Meknès contre les inondations – Tranche 3,DIRECTEUR DES AMENAGEMENTS HYDRAULIQUES,MEKNES,2026-07-10,2026-08-05 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016667&orgAcronyme=k2q,False,False,1,1035600.0
1016713,k2q,46/2026/DAH,Appel d'offres ouvert,AOO,Services,Etude de conception du barrage SALSAL dans la province de TAROUDANT,DIRECTEUR DES AMENAGEMENTS HYDRAULIQUES,TAROUDANNT,2026-07-10,2026-08-06 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016713&orgAcronyme=k2q,False,False,1,1140000.0
